topic,fiscalYear,heading
we-generate-a-significant-portion,2024,"We generate a significant portion of our revenues from advertising. Reduced spending by advertisers, a loss of partners, or new and existing technologies that block ads online and/or affect our ability to personalize ads could harm our business."
we-generate-a-significant-portion,2025,"We generate a significant portion of our revenues from advertising. Reduced spending by advertisers, a loss of partners, shifts in online advertising, new and evolving advertising formats, or new or existing technologies that block ads online or affect our ability to personalize ads could harm our business."
we-face-intense-competition-if,2024,"We face intense competition. If we do not continue to innovate and provide products and services that are useful to users, customers, and other partners, we may not remain competitive, which could harm our business, financial condition, and operating results."
we-face-intense-competition-if,2025,"We face intense competition. If we do not continue to innovate and provide products and services that are useful to users, customers, and other partners, we may not remain competitive, which could harm our business, financial condition, and operating results."
our-ongoing-investment-in-new,2024,"Our ongoing investment in new businesses, products, services, and technologies is inherently risky, and could divert management attention and harm our business, financial condition, and operating results."
our-ongoing-investment-in-new,2025,"Our increasing investment in new businesses, products, services, and technologies is inherently risky, and could divert management attention and harm our business, financial condition, and operating results."
our-revenue-growth-rate-could,2024,"Our revenue growth rate could decline over time, and we may experience downward pressure on our operating margin in the future."
our-revenue-growth-rate-could,2025,"Our revenue growth rate could decline over time, and we may experience downward pressure on our operating margin in the future."
our-intellectual-property-rights-are,2024,"Our intellectual property rights are valuable, and any inability to protect them could reduce the value of our products, services, and brands as well as affect our ability to compete."
our-intellectual-property-rights-are,2025,"Our intellectual property rights are valuable, and any inability to protect them could reduce the value of our products, services, and brands as well as affect our ability to compete."
our-business-depends-on-strong,2024,"Our business depends on strong brands, and failing to maintain and enhance our brands would hurt our ability to expand our base of users, advertisers, customers, content providers, and other partners."
our-business-depends-on-strong,2025,"Our business depends on strong brands, and failing to maintain and enhance our brands would hurt our ability to expand our base of users, advertisers, customers, content providers, and other partners."
we-face-a-number-of,2024,"We face a number of manufacturing and supply chain risks that could harm our business, financial condition, and operating results."
we-face-a-number-of,2025,"We face a number of manufacturing and supply chain risks that could affect our ability to supply our products and services and harm our business, financial condition, and operating results."
interruption-to-interference-with-or,2024,"Interruption to, interference with, or failure of our complex information technology and communications systems could hurt our ability to effectively provide our products and services, which could harm our reputation, financial condition, and operating results."
interruption-to-interference-with-or,2025,"Interruption to, interference with, or failure of our complex information technology and communications systems could hurt our ability to effectively provide our products and services, which could harm our reputation, financial condition, and operating results."
our-international-operations-expose-us,2024,"Our international operations expose us to additional risks that could harm our business, reputation, financial condition, and operating results."
our-international-operations-expose-us,2025,"Our international operations expose us to additional risks that could harm our business, reputation, financial condition, and operating results."
we-are-exposed-to-fluctuations,2024,"We are exposed to fluctuations in the fair values of our investments and, in some instances, our financial statements incorporate inherently subjective valuation methodologies."
we-are-exposed-to-fluctuations,2025,"We are exposed to fluctuations in the fair values of our investments and, in some instances, our financial statements incorporate inherently subjective valuation methodologies."
people-access-our-products-and,2024,"People access our products and services through a variety of platforms and devices that continue to evolve with the advancement of technology and user preferences. If manufacturers and users do not widely adopt versions of our products and services developed for these interfaces, our business could be harmed."
people-access-our-products-and,2025,"People access our products and services through a variety of platforms and devices that continue to evolve with the advancement of technology and user preferences. If manufacturers and users do not widely adopt versions of our products and services developed for these interfaces, our business could be harmed."
issues-in-the-development-and,2024,Issues in the development and use of AI may result in reputational harm and increased liability exposure.
issues-in-the-development-and,2025,Issues in the development and use of AI may result in reputational harm and increased liability exposure.
data-privacy-and-security-concerns,2024,"Data privacy and security concerns relating to our technology and our practices could harm our reputation, cause us to incur significant liability, and deter current and potential users or customers from using our products and services. Computer viruses, software bugs or defects, security breaches, and attacks on our systems could result in the improper disclosure and use of user data and interference with our users' and customers' ability to use our products and services, harming our business and reputation."
data-privacy-and-security-concerns,2025,"Data privacy and security concerns relating to our technology and our practices could harm our reputation, cause us to incur significant liability, and deter current and potential users or customers from using our products and services. Computer viruses, software bugs or defects, security breaches, and attacks on our systems could result in the improper disclosure and use of user data and interference with our users' and customers' ability to use our products and services, harming our business and reputation."
our-ongoing-investments-in-safety,2024,"Our ongoing investments in safety, security, and content review will likely continue to identify abuse of our platforms and misuse of user data."
our-ongoing-investments-in-safety,2025,"Our ongoing investments in safety, security, and content review will likely continue to identify abuse of our platforms and misuse of user data."
problematic-content-on-our-platforms,2024,"Problematic content on our platforms, including low-quality user-generated content, web spam, content farms, and other violations of our guidelines could affect the quality of our services, which could harm our reputation and deter our current and potential users from using our products and services."
problematic-content-on-our-platforms,2025,"Problematic content on our platforms, including low-quality user-generated content, web spam, content farms, and other violations of our guidelines could affect the quality of our services, which could harm our reputation and deter our current and potential users from using our products and services."
our-business-depends-on-continued,2024,"Our business depends on continued and unimpeded access to the Internet by us and our users. Internet access providers may be able to restrict, block, degrade, or charge for access to certain of our products and services, which could lead to additional expenses and the loss of users and advertisers."
our-business-depends-on-continued,2025,"Our business depends on continued and unimpeded access to the Internet by us and our users. Internet access providers may be able to restrict, block, degrade, or charge for access to certain of our products and services, which could lead to additional expenses and the loss of users and advertisers."
we-are-subject-to-a,2024,"We are subject to a variety of new, existing, and changing laws and regulations worldwide that could harm our business, and will likely be subject to an even broader scope of laws and regulations as we continue to expand our business."
we-are-subject-to-a,2025,"We are subject to a variety of new, existing, and changing laws and regulations worldwide that could harm our business, and will likely be subject to an even broader scope of laws and regulations as we continue to expand our business."
we-are-and-may-continue,2024,"We are and may continue to be subject to claims, lawsuits, regulatory and government inquiries and investigations, enforcement actions, consent orders, and other forms of regulatory scrutiny and legal liability, including competition matters, that could harm our business, reputation, financial condition, and operating results."
we-are-and-may-continue,2025,"We are and may continue to be subject to claims, lawsuits, regulatory and government inquiries and investigations, enforcement actions, consent orders, and other forms of regulatory scrutiny and legal liability, including competition matters, that could harm our business, reputation, financial condition, and operating results."
privacy-data-protection-data-usage,2024,"Privacy, data protection, data usage, and portability regulations are complex and rapidly evolving areas. Any failure or alleged failure to comply with these laws could harm our business, reputation, financial condition, and operating results."
privacy-data-protection-data-usage,2025,"Privacy, data protection, data usage, and portability regulations are complex and rapidly evolving areas. Any failure or alleged failure to comply with these laws could harm our business, reputation, financial condition, and operating results."
we-face-and-may-continue,2024,"We face, and may continue to face, intellectual property infringement or misappropriation, violation of rights of publicity, and other claims that could be costly to defend, result in significant damage awards or other costs (including indemnification awards), and limit our ability to use certain technologies."
we-face-and-may-continue,2025,"We face, and may continue to face, intellectual property infringement or misappropriation, violation of rights of publicity, and other claims that could be costly to defend, result in significant damage awards or other costs (including indemnification awards), and limit our ability to use certain technologies."
we-could-be-subject-to,2024,"We could be subject to changes in tax rates, the adoption of new U.S. or international tax legislation, or exposure to additional tax liabilities."
we-could-be-subject-to,2025,"We could be subject to changes in tax rates, the adoption of new US or international tax legislation, or exposure to additional tax liabilities."
we-cannot-guarantee-that-any,2024,"We cannot guarantee that any share repurchase program or dividend program will be continuously active or fully consummated or will enhance long-term stockholder value, and share repurchases or dividends could increase the volatility of our stock prices and could diminish our cash reserves."
we-cannot-guarantee-that-any,2025,"We cannot guarantee that any share repurchase program or dividend program will be continuously active or fully consummated or will enhance long-term stockholder value, and share repurchases or dividends could increase the volatility of our stock prices and could diminish our cash reserves."
the-concentration-of-our-stock,2024,The concentration of our stock ownership limits our stockholders' ability to influence corporate matters.
the-concentration-of-our-stock,2025,The concentration of our stock ownership limits our stockholders' ability to influence corporate matters.
provisions-in-our-charter-documents,2024,Provisions in our charter documents and under Delaware law could discourage a takeover that stockholders may consider favorable.
provisions-in-our-charter-documents,2025,Provisions in our charter documents and under Delaware law could discourage a takeover that stockholders may consider favorable.
the-trading-price-for-our,2024,The trading price for our Class A stock and non-voting Class C stock may continue to be volatile.
our-operating-results-may-fluctuate,2024,"Our operating results may fluctuate, which makes our results difficult to predict and could cause our results to fall short of expectations."
our-operating-results-may-fluctuate,2025,"Our operating results may fluctuate, which makes our results difficult to predict and could cause our results to fall short of expectations."
acquisitions-joint-ventures-investments-and,2024,"Acquisitions, joint ventures, investments, and divestitures could result in operating difficulties, dilution, and other consequences that could harm our business, financial condition, and operating results."
acquisitions-joint-ventures-investments-and,2025,"Acquisitions, joint ventures, investments, and divestitures could result in operating difficulties, dilution, and other consequences that could harm our business, financial condition, and operating results."
we-rely-on-highly-skilled,2024,"We rely on highly skilled personnel and, if we are unable to retain or motivate key personnel, hire qualified personnel, or maintain and continue to adapt our corporate culture, we may not be able to grow or operate effectively."
we-rely-on-highly-skilled,2025,"We rely on highly skilled personnel and, if we are unable to retain or motivate key personnel, hire qualified personnel, or maintain and continue to adapt our corporate culture, we may not be able to grow or operate effectively."
